Ti_c,To_c,Tsub_in_K,Tsub_out_K,P_in_Mpa,P_isp_Mpa,P_exit_Mpa,D_mm,G_kg/m2s,u_out_m/s,we_kW,qchf_MW/m2
30.28,98.29,144.69,72.97,0.9699,0.8918,0.8163,2.5,11390,11.868,15.904,19.57151
30.04,101.37,193.7,121.09,2.5523,2.4906,2.431,2.5,11949.8,12.47,20.116,21.49763
40.76,94.95,128.85,70.95,0.8551,0.7848,0.7167,2.5,11690.2,12.152,16.453,16.10028
48.25,100.66,124.57,69.03,0.9113,0.8477,0.7862,2.5,11516.8,12.022,12.668,15.33721
49.79,110.65,119.59,55.43,0.8429,0.7803,0.7197,2.5,11303.5,11.892,16.209,17.38638
61.07,115.47,108.31,50.6,0.8429,0.7803,0.7197,2.5,11240.1,11.873,13.584,15.50084
66.03,107.31,96.64,50.53,0.7403,0.6613,0.5849,2.5,11479.8,12.047,9.982,12.11245
30.16,80.18,145.77,90.59,1.0212,0.9123,0.8069,2.5,15038.4,15.474,15.293,19.20938
29.87,101.79,197.12,122.99,2.7574,2.6466,2.5394,2.5,15051.4,15.711,22.924,27.29309
30.1,80.12,149.09,90.03,1.1799,0.9843,0.7951,2.5,19926.8,20.503,20.421,25.45108
30.1,91.33,172.06,104.33,1.8417,1.6268,1.4189,2.5,20208.1,20.945,24.817,31.39202
30.28,106.07,199.12,119.22,2.9772,2.7671,2.5639,2.5,20079.4,21.029,30.983,38.26931
30.1,92.76,198.13,131.59,2.904,2.7083,2.5191,2.5,20148.7,20.893,25.183,32.00307
40.06,89.14,140.83,83.01,1.219,1.0233,0.8341,2.5,19926.6,20.627,21.093,24.9319
40.47,104.1,148.99,77.25,1.4535,1.2404,1.0344,2.5,19856.8,20.78,27.015,31.92714
40.59,103.15,161.95,93.32,1.8417,1.6393,1.4436,2.5,19996.5,20.907,26.404,31.63346
40.64,94,165.9,105.39,2.0322,1.7797,1.5355,2.5,20066.3,20.836,22.68,27.22205
40.53,96.38,167.5,105.41,2.0615,1.834,1.6141,2.5,19998.9,20.801,21.947,28.35812
40.59,106.42,188.65,118.12,2.9968,2.7587,2.5285,2.5,20006.7,20.959,28.236,33.2378
49.73,103.93,131.31,67.51,1.241,1.027,0.8201,2.5,19913.2,20.839,24.573,27.38696
50.61,110.71,149.31,82.26,1.7733,1.5526,1.3392,2.5,19978.1,21.013,24.267,30.3498
50.26,126.19,153.65,71.14,1.9101,1.6865,1.4702,2.5,19845.9,21.149,31.41,37.71111
49.55,107.37,171.3,108.81,2.567,2.3578,2.1556,2.5,20200,21.181,23.291,29.57747
50.44,116.78,179.85,109.08,3.0407,2.8123,2.5914,2.5,19990.9,21.118,26.954,33.39925
60.59,104.7,121.18,67.76,1.2556,1.0445,0.8404,2.5,19738.3,20.668,20.299,22.21087
59.77,130.31,144.41,66.54,1.9443,1.6956,1.4551,2.5,19685,21.055,29.274,34.83139
60.59,108.33,142.85,89.21,1.871,1.6705,1.4767,2.5,19879.7,20.868,19.811,24.15632
60.24,120.11,168.47,104.42,2.943,2.732,2.5278,2.5,19824.9,21.002,27.32,29.98732
69.88,107.08,105.39,60.22,1.0602,0.8983,0.7418,2.5,19701.7,20.669,17.552,18.77868
70.17,136.64,133.52,60.46,1.9027,1.6791,1.4629,2.5,19570.7,21.056,29518,32.69592
70.29,143.99,147.34,68.7,2.4278,2.2167,2.0126,2.5,19506.4,21.129,32.387,35.95841
70.47,146.5,149.36,68.4,2.5303,2.3125,2.1019,2.5,19910.9,21.62,31.471,37.80505
30.16,83.15,156.17,89.32,1.4852,1.1575,0.8406,2.5,24954.4,25.726,26.099,33.7016
30.28,88.54,201.09,136.82,3.1799,2.8686,2.5676,2.5,25041.2,25.889,29.151,37.07714
60.36,99.23,125.28,73.37,1.4461,1.1396,0.8432,2.5,24635.6,25.688,21.459,24.50982
