YEAR,AUTHORS,GEOM,MAT,ROD_DIM,ROD_PITCH,SHROUD_DIM,Lh,FLUID,FLOW_DIR,POW_DIST,P_IN,G,T_IN,TSUB_IN,HSUB_IN,XE_IN,P_EXIT,T_EXIT,TSUB_EXIT,HSUB_EXIT,X_EXIT,XE_EXIT,CHF,Z_CHF,APP,CHANGE,CHF_DETECT,FQ
none,none,none,none,m,m,m,m,none,degree,none,Pa,kg/m2-s,K,K,J/kg,none,Pa,K,K,J/kg,none,none,W/m2,m,none,none,none,none
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,1315.54,,,,,13789518,,5.6,,,,3971419,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,1301.98,,,,,13789518,,21.7,,,,3935960,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,1315.54,,,,,13789518,,23.9,,,,3935960,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,1315.54,,,,,13789518,,18.9,,,,3829583,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,1315.54,,,,,13789518,,22.2,,,,3794124,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,1315.54,,,,,13789518,,18.9,,,,3687746,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,1315.54,,,,,13789518,,25.6,,,,3581369,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,1315.54,,,,,13789518,,13.3,,,,3333155,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5316.42,,,,,13789518,,26.7,,,,7375493,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5289.3,,,,,13789518,,26.7,,,,7659166,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5262.17,,,,,13789518,,16.7,,,,6666311,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5248.61,,,,,13789518,,8.9,,,,5673456,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5262.17,,,,,13789518,,3.6,,,,5035192,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5357.11,,,,,13789518,,72.2,,,,10354057,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5357.11,,,,,13789518,,46.7,,,,8439266,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5357.11,,,,,13789518,,90.6,,,,10495894,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5262.17,,,,,13789518,,75.6,,,,10034925,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5289.3,,,,,13789518,,65.6,,,,8935693,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5262.17,,,,,13789518,,78.9,,,,9396662,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10524.34,,,,,13789518,,5,,,,8474725,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10524.34,,,,,13789518,,5.8,,,,8084675,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10565.03,,,,,13789518,,3.1,,,,7269116,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10470.09,,,,,13789518,,18.9,,,,9999466,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,9859.79,,,,,13789518,,24.4,,,,10708648,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10497.22,,,,,13789518,,36.7,,,,11843339,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10497.22,,,,,13789518,,67.8,,,,12623440,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10497.22,,,,,13789518,,71.1,,,,13403540,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5248.61,,,,,3447380,,21.1,,,,8864775,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5248.61,,,,,3447380,,19.4,,,,9644875,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10456.53,,,,,6894759,,22.8,,,,9715793,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10510.78,,,,,6894759,,12.8,,,,7801002,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5207.92,,,,,6894759,,27.8,,,,7552788,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5207.92,,,,,6894759,,6.7,,,,6276261,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10375.16,,,,,3447380,,25.6,,,,9573957,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10510.78,,,,,3447380,,8.3,,,,7552788,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10605.72,,,,,3447380,,6.1,,,,6843606,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10253.1,,,,,3447380,,12.2,,,,8510184,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10253.1,,,,,3447380,,11.1,,,,7942838,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,10483.66,,,,,3447380,,5.6,,,,7233656,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5248.61,,,,,3447380,,16.7,,,,8332889,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5248.61,,,,,3447380,,22.8,,,,8900234,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5248.61,,,,,3447380,,29.4,,,,9503039,0.62484,,,,
1951,Jens-Lottes,C0,SS-347,,,0.00574,0.62484,water,90,uniform,,5248.61,,,,,3447380,,11.7,,,,7942838,0.62484,,,,
